1: 1: コロナ禍のmake you happy は名曲でした。 | Sentiment: 5 stars | Score: 0.33
21: 21: i can&#39;t believe there&#39;s no one ok rock, nano, my first story 😭😭 | Sentiment: 5 stars | Score: 0.33
22: 22: 4:41 he knows peak | Sentiment: 4 stars | Score: 0.24
23: 23: utada hikaru and mayumi itsuwa is a legend | Sentiment: 5 stars | Score: 0.51
24: 24: 急なppapおもろすぎ | Sentiment: 1 star | Score: 0.29
25: 25: i&#39;m heartbroken that &quot;chicken attack&quot; did not made into the list. | Sentiment: 1 star | Score: 0.66
26: 26: 黄猿ってコメントした人、面白すぎるw | Sentiment: 1 star | Score: 0.36
27: 27: why there is no spyair and burnout syndrome?? | Sentiment: 1 star | Score: 0.32
28: 28: was bro complaining about tokyo drift like that song isnt amazing | Sentiment: 3 stars | Score: 0.35
29: 29: wheres the baby metal react lol | Sentiment: 5 stars | Score: 0.23
30: 30: 15:08 definitely yeah 🤣🤣🤣 | Sentiment: 5 stars | Score: 0.52
31: 31: someone in japan made a video of you reacting to this and added translations, everyone thinks your reaction to ppap is hilarious ahahah got like 400k views 😂 | Sentiment: 1 star | Score: 0.49
32: 32: ppapはジャスティンビーバーが生んだんだよ😂 | Sentiment: 1 star | Score: 0.24
33: 33: 米津玄師がストリーミングサービスを開始したのが2020年だからピースサインとかloserは後から配信されたって考えるとこの順位にいるのヤバいな | Sentiment: 3 stars | Score: 0.28
34: 34: where&#39;s myth&amp;roid man | Sentiment: 1 star | Score: 0.30
35: 35: 26:14 just learn japanese man, it really isn&#39;t that hard | Sentiment: 1 star | Score: 0.38
36: 36: more ado | Sentiment: 5 stars | Score: 0.28
37: 37: とても良い動画です！ | Sentiment: 5 stars | Score: 0.51
38: yoasobi をトップに!!!! | Sentiment: 5 stars | Score: 0.42
39: 38: brother i think your reactions are so fake that i started to believe in santa again thx so much | Sentiment: 1 star | Score: 0.64
40: 39: for me, aimyon is the best japanese female singer and songwriter rn | Sentiment: 5 stars | Score: 0.78
41: 40: bro american is scam bro a scam boring place and they will never let asian take over on their chart | Sentiment: 1 star | Score: 0.76
42: 41: then you see that he reacts the you are my specialz then he said he loved it who the hell is that reaction getting bias | Sentiment: 1 star | Score: 0.32
43: 42: nahh bros cant handle such bloody song like you are my specialz | Sentiment: 1 star | Score: 0.58
44: 43: he might love wagakki band | Sentiment: 5 stars | Score: 0.30
45: 44: listening to all of these song about to make me have an eargasm | Sentiment: 1 star | Score: 0.44
46: 45: chat, i sang along with 80% of the songs in this list. am i cooked? | Sentiment: 1 star | Score: 0.40
47: 46: japan loves lemon so much that they actually hold a party annually to celebrate it. go search lemon party if you are curious. | Sentiment: 5 stars | Score: 0.52
48: 47: 06:24 is just more killing it after you watch the live action.it makes my heart feels empty | Sentiment: 1 star | Score: 0.47
49: 48: stay with me has to better ranking it has to be atleast 20 and where is the flyday chinatown, i cant stop loneliness ,duvet ,suki suki daisuki, remember summer day, fantasy ,bay city,4 am, and some others that i cant remember | Sentiment: 2 stars | Score: 0.32
50: 49: where the fuck fireworks? | Sentiment: 1 star | Score: 0.44
51: 50: asían kung fu generation??😢 | Sentiment: 3 stars | Score: 0.26
52: 51: im japanese and i just wanna say we all love u men | Sentiment: 5 stars | Score: 0.60
53: 52: ppap黄猿って言われてて草 | Sentiment: 1 star | Score: 0.30
54: 53: you just need to move to japan atp | Sentiment: 1 star | Score: 0.29
55: 54: kick back was inspired by a song call souda! we&#39;re alive by morning musume. the doryoku mirai a beautiful star was literally taken from that song. | Sentiment: 5 stars | Score: 0.33
56: 55: im genuinely quite surprised that zutomayo didnt appear once in that list | Sentiment: 3 stars | Score: 0.26
57: 56: where is suzume bro? my favorite song just got hard disrespected. | Sentiment: 5 stars | Score: 0.46
58: 57: bro im now 19 and i didn&#39;t first love was a japanese song💀 | Sentiment: 1 star | Score: 0.41
59: 58: really wierd that there is no flow song on the list | Sentiment: 1 star | Score: 0.49
60: 59: не считая 4 и 5 места - всё остальное хорошо) | Sentiment: 4 stars | Score: 0.66
61: 60: liked the vid when you said you didn&#39;t like specialz | Sentiment: 2 stars | Score: 0.33
62: 61: mass of the fermenting dregs world is yours album please react on this ❤❤❤❤❤❤ | Sentiment: 5 stars | Score: 0.42
63: 62: 18:55 cute | Sentiment: 4 stars | Score: 0.32
64: 63: 修正版のトップ200が出ているので、そちらもよければ是非見てください‼︎ランキングめっちゃ変動してますよ！ | Sentiment: 3 stars | Score: 0.23
65: 64: at least its most played songs not most liked lol | Sentiment: 3 stars | Score: 0.41
66: 65: fyi, &quot;back number&quot; was called &quot;the king of broken heart&quot; because their song was sooo heartbroken with a nice touch on the lyric that hits your heart. | Sentiment: 2 stars | Score: 0.31
67: 66: 2:38 relate broo, i live in country where the 99.9% politicians is corrupt where our tax money didn&#39;t even used to atleast make road better right now every single roads have street holes | Sentiment: 1 star | Score: 0.48
68: 67: shinunaga iiwaa😭 | Sentiment: 3 stars | Score: 0.29
69: 68: bro i&#39;m waiting for your vlog video in japan, i think you will look like an embarrassing baaka on the streets of japan.wkwkwkw | Sentiment: 1 star | Score: 0.57
70: 69: meh, you should read the lyric and meaning behind lemon. lemon is peak with the story behind, try it before it tooo latee!!!! | Sentiment: 2 stars | Score: 0.42
71: 70: specialz?? where are jjk fans pls 19:48 | Sentiment: 1 star | Score: 0.34
72: 71: 14:52 nic: can i get aoi ! aoi!chat: aoi! aoi!!singer: shiroi, shiroi !! | Sentiment: 1 star | Score: 0.33
73: 72: kenshi gives me chills in a good way | Sentiment: 4 stars | Score: 0.39
74: 73: wht? i thought idol was the most streamed japanese song | Sentiment: 2 stars | Score: 0.32
75: 74: where can i find the actual video? | Sentiment: 1 star | Score: 0.32
76: 75: 30:22 this ppap song was a trend long time ago that many people and even artists do this, it&#39;s quite funny and also brainwashed | Sentiment: 1 star | Score: 0.42
77: 76: 23:30 for your information, niziu was a jpop group under korean entertainment company called jyp entertainmentyou should try listen some of their songs | Sentiment: 1 star | Score: 0.35
78: 77: i&#39;m surprised crying for rain is just at 43. i thought it would be at least at top 20 or so | Sentiment: 3 stars | Score: 0.42
79: 78: hi | Sentiment: 3 stars | Score: 0.29
80: i&#39;d like you to take a look at “rydeen reboot” | Sentiment: 5 stars | Score: 0.33
81: i don&#39;t know what you think of it, but it might interest some of you. | Sentiment: 3 stars | Score: 0.53
82: 79: 9:36 can someone translate number 68, the title and band | Sentiment: 1 star | Score: 0.34
83: 80: yuika in 100.... not expecti g | Sentiment: 1 star | Score: 0.30
84: 81: sad that oddloop isn’t in it | Sentiment: 1 star | Score: 0.31
85: 82: yo during the 32nd song bro looked like he went braindead or something haha | Sentiment: 1 star | Score: 0.41
86: 83: gua sih yah mutusin buat make x cuman buat dapet info aja soal hal yg gua sukain | Sentiment: 1 star | Score: 0.34
87: 84: number 91 my personal favorite yoasobi song | Sentiment: 5 stars | Score: 0.84
88: 85: ese final fue muy duro para todos jajajajaj | Sentiment: 5 stars | Score: 0.29
89: 86: bro not knowing masaki suda is crime... it&#39;s the ranking top 66 guy i&#39;m talking abt btw... he&#39;s one of the best artist and actor in japan | Sentiment: 5 stars | Score: 0.47
90: 87: i&#39;m invincible is my favorite song by them | Sentiment: 5 stars | Score: 0.70
91: 88: well, not the 100 songs most played in japan, but the 100 japanese songs most played around the world hahaha | Sentiment: 4 stars | Score: 0.28
92: 89: were are asian kung fuu ? | Sentiment: 1 star | Score: 0.30
93: 90: his face while listening to unravel got me. | Sentiment: 2 stars | Score: 0.32
94: 91: the amount of anime songs here is kinda wild. imagine that over here. “among the 100 most listened songs is everything miley cyrus, michael jackson still, the most recent ed sheeran, gravity falls op, powerpuff girls op, samurai jack op, gravity falls wierdmaggedon op, owl house op”lol | Sentiment: 3 stars | Score: 0.33
95: 92: ppapクソワロタwwwwwww | Sentiment: 1 star | Score: 0.31
96: 93: unravel のリアクション好きすぎる。この言わなくてもわかるだろ感 dude i love your reaction when unravel plays | Sentiment: 5 stars | Score: 0.50
97: 94: the fact that yui, kyary pamyu pamyu, tofu beats and chanmina aren’t on here is wild to me | Sentiment: 1 star | Score: 0.30
98: 95: 2:43 this song made me cry like a baby when i first listened to it. instantly became one of my all time. | Sentiment: 5 stars | Score: 0.88
99: 96: lessgo yoru ni kakeru and odo and lemon and many others ha | Sentiment: 2 stars | Score: 0.36
100: 97: love ado💙 one of my favoriteslove the rest too❤ | Sentiment: 5 stars | Score: 0.81
101: 98: you should watch the music video of number 88. its titled niji (rainbow). its about life after marriage. and also its a doraemon movie theme song where nobita and shizuka got married. | Sentiment: 4 stars | Score: 0.33
102: 99: ppap is the best song ever. btw, that troll song singer is actually a comedian. he had series of these and well know in asia for his non-sequitur humor. (it&#39;s not monty python... but more like a subdue benny hill) | Sentiment: 5 stars | Score: 0.75
103: 100: should prob point out these songs are top due to anime (for the most part).it is not only japanese people listening to these, but just anime fans in general, so quite frankly it is probably a large amount of these streams being western. | Sentiment: 5 stars | Score: 0.37
104: 101: 20:44 natori mentioned!?!!!🔥🔥🔥 natori for the president | Sentiment: 1 star | Score: 0.54
105: 102: 80% of this list is just uninspired jpop slop. y&#39;all know it | Sentiment: 1 star | Score: 0.63
106: 103: 29:47 🖋️🍍🍎🖋️ | Sentiment: 5 stars | Score: 0.25
107: 104: i&#39;m shocked that there are no songs by miku or vocaloid, are they not included in the list?31:00 😭😭😭😂😂 | Sentiment: 1 star | Score: 0.45
108: 105: back number is my fav japanese band ever. | Sentiment: 5 stars | Score: 0.83
109: 106: 18:50 glad to see kyouran hey kids this high even after like 9 years..❤ | Sentiment: 5 stars | Score: 0.68
110: 107: bro i wish mono no aware were in the list. tbf they are like very old in internet terms | Sentiment: 1 star | Score: 0.33
111: 108: you have micheal jackson dominating the list for sure | Sentiment: 5 stars | Score: 0.33
112: 109: 海の幽霊聞いてみてほしいな | Sentiment: 5 stars | Score: 0.27
113: 110: no more &quot;(rapper) reacting to japanese song&quot; 🥀 nick is not officially retired of being rap | Sentiment: 1 star | Score: 0.59
114: 111: kizaru 💀💀💀 | Sentiment: 1 star | Score: 0.37
115: 112: i am japanese. i use a translator to make comments. i&#39;m sorry if it&#39;s a strange sentence.🤖💦&quot;lemon&quot; is the theme song of the drama, a song that sings painfully about the sadness and loss of a loved one, and became popular because yonezu&#39;s own family&#39;s death had a significant impact on the production and many people sympathized with the lyrics.i&#39;m glad you seem to be having a good time! thank you for listening to japanese songs.🥳💖 | Sentiment: 1 star | Score: 0.23
116: 113: i actually suggest listening to best 100 vocaloids prob posted by same personit&#39;s so cool (by japanese i don&#39;t know about ya) | Sentiment: 5 stars | Score: 0.33
117: 114: how does bro not know of ppap😭🙏 | Sentiment: 1 star | Score: 0.25
118: 115: trust me, i used to work in japanese karaoke from 2018-2021. that lemon song just keeps on number 1 on chart for whole year. that shows how crazy japanese love that song | Sentiment: 5 stars | Score: 0.41
119: 116: no asain kung-fu gen and flow wtf japan 😢 | Sentiment: 5 stars | Score: 0.33
120: 117: real on&#39;s know ppap (osu ninjas) | Sentiment: 1 star | Score: 0.26
121: 118: 29:48 dann didn&#39;t know kizaru could spit bars | Sentiment: 1 star | Score: 0.43
122: 119: yesss , do babymetallll | Sentiment: 1 star | Score: 0.28
123: 120: this is so good ,that is why i listen now only japan song ... look 100 in usa , 80-90% its about money ,sex itp and in wideo they just show only ass . in 100 japan song you got 0 butt.. | Sentiment: 1 star | Score: 0.44
124: 121: number 4? i caught my japanese friend listening to tokyo drift at school and i asked him if that&#39;s a popular song. he said it was very popular. didn&#39;t realize how serious he was. | Sentiment: 1 star | Score: 0.30
125: 122: night dancer on top | Sentiment: 5 stars | Score: 0.66
126: 123: some wild ones on here. not bad, but like just okay at absolute best. | Sentiment: 3 stars | Score: 0.57
127: 124: no mukanjyo, no avid, no spark again, its so sad | Sentiment: 1 star | Score: 0.45
128: 125: ok | Sentiment: 4 stars | Score: 0.33
129: 126: try to find out why kenshi wrote the &quot;lemon&quot; song in the first place and you wouldn&#39;t be surprised why that song is so popular among the japanese people. | Sentiment: 1 star | Score: 0.25
130: 127: where is suzumeeee | Sentiment: 1 star | Score: 0.30
131: 128: 唐突なppapで爆笑して死にそう | Sentiment: 1 star | Score: 0.65
132: 129: the ones by dism and yoasobi are always good ones in my opinion and king gnu | Sentiment: 5 stars | Score: 0.51
133: 130: not a single asian kungfu generation song? i don’t believe it’s a real top 100 💔 | Sentiment: 5 stars | Score: 0.31
134: 131: need more | Sentiment: 3 stars | Score: 0.28
135: 132: ppap最高 | Sentiment: 5 stars | Score: 0.24
136: 133: kenshi was suffering from depression, but writing song is like his light, like life gives you lemons. | Sentiment: 4 stars | Score: 0.36
137: 134: tbh, i prefer kenshi yonezu&#39;s orion waaaaaaay more than lemon... | Sentiment: 2 stars | Score: 0.32
138: 135: 14:40 nostalgia 🔥 | Sentiment: 5 stars | Score: 0.43
139: 136: 91, reminds me of that one ratatatat doujin :( | Sentiment: 1 star | Score: 0.34
140: 137: japan&#39;s no. 1 glazer | Sentiment: 5 stars | Score: 0.29
141: 138: 33:46 the song lemon actually has a much deeper meaning that i think everyone can relate to | Sentiment: 3 stars | Score: 0.28
142: 139: yeah nah that yuri song goes hard, bro has an amazing voice | Sentiment: 3 stars | Score: 0.25
143: 140: “the j-pop top 200 is out! | Sentiment: 5 stars | Score: 0.51
144: 141: request：orangestar - surges soooooo gooood | Sentiment: 1 star | Score: 0.37
145: 142: unnatural wouldn&#39;t slap nearly as hard without lemon. | Sentiment: 1 star | Score: 0.61
146: 143: ppapに困惑するニコラスニキ好き | Sentiment: 4 stars | Score: 0.36
147: 144: can guys help me translate n29 i love her voice hehe❤ | Sentiment: 5 stars | Score: 0.56
148: 145: damn i dont know that you’re a big fan of one ok rock 😭 hell yeah, my fellow one ok rockers👊 | Sentiment: 3 stars | Score: 0.23
149: 146: jaja all the top 100 are really good songs of course i will not hear all the song but a lot yes because are some style of music i dont like it, i really hope see unlucky morpheus in this top one day or hannabie | Sentiment: 4 stars | Score: 0.34
150: 147: as a person who’s japanese… やばい、懐かしすぎていつでも聴いても頭の中で響くぐらい好きw | Sentiment: 5 stars | Score: 0.36
151: 148: lemonは命の重みが伝わるから大好きなんだよな | Sentiment: 5 stars | Score: 0.59
152: 149: back number goat | Sentiment: 1 star | Score: 0.48
153: 150: yoasobi supremacy | Sentiment: 5 stars | Score: 0.45
154: 151: nick we all love you, our fave pre watcher | Sentiment: 5 stars | Score: 0.84
155: 152: i want that reaction to top 100 american songs you did at the end lmao | Sentiment: 5 stars | Score: 0.56
156: 153: 7:29 he dropped an album recently. it&#39;s called &#39;under blue&#39; | Sentiment: 1 star | Score: 0.43
157: 154: bad songs | Sentiment: 1 star | Score: 0.43
158: 155: nick should do a reaction to pen pineapple apple pen. it&#39;s a classic | Sentiment: 5 stars | Score: 0.47
159: 156: didn&#39;t oda confirm that he based kizaru on the ppap guy? | Sentiment: 1 star | Score: 0.33
160: 157: yes, u gotta hear baby metal x bmth | Sentiment: 3 stars | Score: 0.23
161: 158: nicholas, i have a favor to ask you. please watch the live video of sakanaction&#39;s song &quot;music.&quot; the pleasure will send you to heaven. | Sentiment: 5 stars | Score: 0.28
162: 159: ohhh prx vs heretic early | Sentiment: 1 star | Score: 0.34
163: 160: nico-niki, you really seem to know almost every song!! impressive! appreciate you showing love for japanese music!! | Sentiment: 5 stars | Score: 0.83
164: 161: the fact that ado has gotten so popular so fast is insane ngl, i swear i didn&#39;t hear about ado until like two years ago and now looking at the list, its insane how popular she gotten, maybe i was just living under a rock but like, i felt like she gotten really popular really fast. | Sentiment: 1 star | Score: 0.45
165: 162: i like when you say wtf in 9.47 without sound...you don&#39;t even wanna disturb the good song....always love your reaction thought..... | Sentiment: 1 star | Score: 0.24
166: 163: ニコラスニキのリアクション動画マジで好きすぎて見てるとこっちまで楽しくなる！bump of chickenとかも聴いて欲しい！ | Sentiment: 5 stars | Score: 0.50
167: 164: i watch from 100 to 34 and wonder why not any of lisa , yellow monkey or even larc en ciel in here ... | Sentiment: 1 star | Score: 0.30
168: 165: &quot;no wonder it&#39;s 69&quot; got me dude | Sentiment: 1 star | Score: 0.37
169: 166: nicholas, you should react tuki. 『騙シ愛』 | Sentiment: 1 star | Score: 0.28
170: 167: back number is fucking good | Sentiment: 3 stars | Score: 0.26
171: 168: bro 30:17 is literally at this point 😭😭💀💀💀 | Sentiment: 1 star | Score: 0.47
172: 169: ppap lol | Sentiment: 3 stars | Score: 0.26
173: 170: it&#39;s the most forced reaction i&#39;ve ever seen ☠️ | Sentiment: 1 star | Score: 0.73
174: 171: watching the stupid anime watchers weebs in the chat mad is my favorite part | Sentiment: 5 stars | Score: 0.48
175: 172: i cant belive tuki bansanka isnt here.... t-t | Sentiment: 1 star | Score: 0.61
176: 173: pretender by official higedandism is one of my favorites, i&#39;m glad it&#39;s on #6 | Sentiment: 5 stars | Score: 0.60
177: 174: taishō sugō aka masaki suda played the very smart yet confined phillip in kamen rider double/ w. he was the wizard in the shazam movie although he overdubbed lines translating into japanese. | Sentiment: 4 stars | Score: 0.52
178: 175: if you’re heading back to japan, there’s a massive warning about foreigners. thanks to some not so great youtubers that are disrespecting and disrupting everyone, some places are banning people of non-japanese descent. the japanese people are very meek and don’t fight back leading to people taking advantage of them. it’s also lead to a massive drop in japanese learning english. i know new york city has a japanese language program because i saw signs for it last time i was there basically they teach you japanese language. | Sentiment: 1 star | Score: 0.45
179: 176: you do realize that no musical artist makes any money in japan at all. they get a portion of cd or e-sales but they barely actually earn anything. everyone does a standard 9 to 5 to make ends meet. artists only play for the love of music. it’s actually stated in the contracts they signed. it’s such a waste of labor. actors are also paid a certain amount which is why they have to do multiple acting jobs to earn a decent wage. they might do a live shot monday then go to a voice acting session tuesday then back again to live back to another voice gig or commercial shoot. it just keeps going through the week. most music artists in japan retire by age 35 because they can’t keep up with the wage issues. actors usually retire around age 45. it’s just a vicious cycle. | Sentiment: 1 star | Score: 0.69
180: 177: i didn’t realise how big hige dandism is but ofc cos they only make bangers | Sentiment: 3 stars | Score: 0.35
181: 178: 32:43 &quot;depression pop&quot; 😂 | Sentiment: 1 star | Score: 0.34
182: 179: i loved when da pump when they made the song called &quot;if&quot;.so much nostalgic song is in this list and im happi.its not like best its most watched so its not only japan, people from other countries watches them too dont forget that. | Sentiment: 5 stars | Score: 0.37
183: 180: 7:41 my dad gym song that i added (he&#39;s japanese) | Sentiment: 5 stars | Score: 0.31
184: 181: evangelion op was defeated by &quot;you are my special&quot;, how the hell did this happen? | Sentiment: 1 star | Score: 0.44
185: 182: japanese top 100 destroys all world top lists | Sentiment: 5 stars | Score: 0.57
186: 183: lol htf is pineapple pen number 5?? how??!! well sad that none of the newer bleach songs were up there but at least there were a couple older ones lol. | Sentiment: 1 star | Score: 0.31
187: 184: 29:49 kizaru jumpscare | Sentiment: 1 star | Score: 0.27
188: 185: me seeing rokudenashi in the list. i&#39;m happy | Sentiment: 5 stars | Score: 0.60
189: 186: how is ponponpon not on the top played list | Sentiment: 2 stars | Score: 0.34
190: 187: so i kept track of all the yoasobi and ado songs. yoasobi had 9 songs (2 of them were #3 and #2). ado had 6 songs in this whole list. i kept track of these two cause i like them the most of all the jp artists | Sentiment: 4 stars | Score: 0.30
191: 188: i think the songs that brother nicholas likes tend to have high-pitched parts, and it seems like high vocals are popular in japan too. but in this ranking, there were so many songs where it felt like, “ah, there’s a high note coming right after this part!” but then it didn’t quite get there—such a missed opportunity 😅i wish they’d show more love for japan. | Sentiment: 3 stars | Score: 0.37
192: 189: i expected the whole of twice&#39;s japanese discography to be here lol.. ig maybe because they&#39;re not a japanese group | Sentiment: 1 star | Score: 0.37
193: 190: your face at the number 5, i pied myself ^^ | Sentiment: 1 star | Score: 0.34
194: 191: ppap by kizaru 😂 | Sentiment: 3 stars | Score: 0.26
195: 192: japan bros you have some great fucking taste.also, ppap was a crazy curveball 🤣 | Sentiment: 1 star | Score: 0.42
196: 193: i like that in japan musicians often use instrumentals and are not afraid to play with their voices. it also seems that japan has the kindest and most positive music. | Sentiment: 4 stars | Score: 0.32
197: 194: is it more biased? considering he didn’t like the others much unless it was mostly anime, or maybe he just likes mostly soft spoken songs? | Sentiment: 3 stars | Score: 0.39
198: 195: wooo proud japanese/american moment for me. glad you enjoy our stuff (minus ppap lol) | Sentiment: 5 stars | Score: 0.64
199: 196: nah.. you dont even know what we do to take over ppap from the top..you dont even know fruit wars | Sentiment: 1 star | Score: 0.39
200: 197: ニコラスよ。日本のネットミームも見る気は無いのか？日本の裏の顔「変態」を楽しめるよ | Sentiment: 3 stars | Score: 0.30
201: 198: just a tad happy here that yorushika had a couple on the list. you gotta check out their music! | Sentiment: 4 stars | Score: 0.31
202: 199: first loveが出た時にspotifyやyoutubeがあって今のレベルで見る人いたら数百億再生は余裕でいってる。日本だけでcd 860万枚だからね。 | Sentiment: 1 star | Score: 0.28
203: 200: lemon intro slaps ngl | Sentiment: 1 star | Score: 0.32
204: 201: 30:30 ピコ太郎無双 | Sentiment: 1 star | Score: 0.33
205: 202: wait, there is no bansanka by tuki on that list? | Sentiment: 1 star | Score: 0.35
206: 203: anybody knows the title song no 23? | Sentiment: 1 star | Score: 0.57
207: 204: never heard the version of #19. only know ado&#39;s cover | Sentiment: 1 star | Score: 0.46
208: 205: ppap the best song ever 🔥 | Sentiment: 5 stars | Score: 0.92
209: 206: love your jpop reaction! | Sentiment: 5 stars | Score: 0.81
210: 207: synth vibing 2025 - just released (new electronica / edm album) ==righteous destruction (rock / metal album)castlevania: aura of holy might (soundtrack / remix album) | Sentiment: 3 stars | Score: 0.25
211: 208: j-song are really unique, i&#39;ve now listened to like 5717 jsongs on list and probably 90% of them already on my listbelieve me..even the small artist have really good songs and voice too | Sentiment: 4 stars | Score: 0.28
212: 209: i&#39;m a japanese teacher and i seriously want to teach you japanese. you have a high level of comprehension, so i&#39;m sure your interpretation would be amazing if you learned japanese. | Sentiment: 3 stars | Score: 0.28
213: 210: pen-pineapple-apple-pen xd | Sentiment: 5 stars | Score: 0.33
214: 211: 18:52表情がサイコパス過ぎだろw | Sentiment: 1 star | Score: 0.26
215: 212: | Sentiment: 3 stars | Score: 0.30
216: 213: ubi | Sentiment: 3 stars | Score: 0.25
217: 214: looking forward to baby metal reaction. plese do it quickly | Sentiment: 4 stars | Score: 0.43
218: 215: the fact that you know 90% of the songs and to think this all started when you did that blind reaction to anime openings. lol | Sentiment: 1 star | Score: 0.33
219: 216: ppapで黄猿言われてんのバカ笑ったｗｗ確かにめっちゃ似てるｗｗ | Sentiment: 1 star | Score: 0.43
220: 217: ambatuakm | Sentiment: 3 stars | Score: 0.25
221: 218: you should check the top 230 anisong cd single sales from 1990 to 2024 | Sentiment: 5 stars | Score: 0.31
222: 219: number 77 is the same people who did the mha vigilante op | Sentiment: 1 star | Score: 0.40
223: 220: 73位のyoasobiの時の反応😂楽しいビデオをありがとう😊✨日本から見てます🇯🇵🗾私もたくさん良い音楽を聴くぞー😆⸜( * ॑˘ ॑* )⸝⋆*ʓ ꩢ ʓ ꩢ | Sentiment: 5 stars | Score: 0.43
224: 221: 33:38 “lemon” is a song produced in 2020 as the theme for a television drama. the lyrics beautifully reflect the drama’s themes, and together with the show’s popularity, the song attracted significant attention. it also served as the breakthrough that brought the artist kenshi yonezu into the public spotlight. | Sentiment: 4 stars | Score: 0.45
225: 222: 30:17 “pen-pineapple-apple-pen” is a song written and performed by the japanese comedian pikotaro. its surreal humor made it a hit in 2016, and it later became a sensation in the united states as well. | Sentiment: 4 stars | Score: 0.36
226: 223: 10:22 masaki suda（菅田将暉） is a famous actor in japan, and he’s also a talented singer. | Sentiment: 4 stars | Score: 0.29
227: 224: ok, official hige dandism gotten huuuge since i first heard them. | Sentiment: 3 stars | Score: 0.28
228: 225: ppap came out when i was still in school. it&#39;s old. i think 2015 so why is it still relevant lmao. hated it so much because everyone would sing that shit | Sentiment: 1 star | Score: 0.46
229: 226: i&#39;m sad that duvet isn&#39;t on this list. 😔 | Sentiment: 1 star | Score: 0.44
230: 227: ppapほんま草 | Sentiment: 3 stars | Score: 0.25
231: 228: 3:30 reiner🗣️🔥 reiner🗣️🔥 reiner🗣️🔥 | Sentiment: 1 star | Score: 0.27
232: 229: when kenshi yonezu released lemon, i felt the need as a japanese to sing it in the middle of a pubg hotspot, and i did. i performed it in front of a downed enemy, no one came to interrupt me, and he bled to death right in front of me. | Sentiment: 1 star | Score: 0.51
233: 230: hi! i love your channel, especially about ado.by the way, could you react japanese song &#39;tentai kansoku’ by japanese band &#39;bump of chicken’.it was released 24 years ago and it became the 2000&#39;s national representative song.i have never seen the japanese dislike the song.i am very interested in your thoughts, since it is not complicated but purely touchs the hearts of japanese people. you in advance! | Sentiment: 5 stars | Score: 0.62
234: 231: recent songs are getting more views from overseas since anime culture has become more popular last few years. | Sentiment: 3 stars | Score: 0.37
235: 232: i was not expecting hai yorokonde to be on here. i&#39;ve been bumping that shit for months after spotify added it to my queue. i had no clue it was that big lol | Sentiment: 1 star | Score: 0.66
236: 233: 7:19 finally eve 😭 | Sentiment: 5 stars | Score: 0.38
237: 234: lemon&quot; is the name of the drama.it became very popular. | Sentiment: 4 stars | Score: 0.37
238: 235: react dish. full video on firsttake dude | Sentiment: 5 stars | Score: 0.45
239: 236: can&#39;t believe orb op is underrated even in japan | Sentiment: 5 stars | Score: 0.47
240: 237: plz listening to lemon after watching j-drama “unnatural”!! swear you will cry. | Sentiment: 1 star | Score: 0.80
241: 238: you should put japanese subtitles on this | Sentiment: 1 star | Score: 0.40
