1: 1: ебаный пот рома жёлудь тут че забыл | Sentiment: neutral | Score: 0.0
24: 24: 7:36 everyone who went on spotify so they can also hear 7 rings song since its not recorded in the video lol | Sentiment: positive | Score: 0.4215
25: 25: most of these songs are amazing especially call me maybe | Sentiment: positive | Score: 0.5859
26: 26: 14:53 the f | Sentiment: neutral | Score: 0.0
27: 27: twinkle little star tops all of these | Sentiment: positive | Score: 0.4627
28: 28: problém is that pulcino pio was first bro soooo | Sentiment: neutral | Score: 0.0
29: 29: where was wap bap from bibi with like 2m dislikes???? | Sentiment: negative | Score: -0.2869
30: 30: i understand why some songs are disliked. but either this video is half rage bait, or whoever made that video &#39;&#39;the most disliked songs&#39;&#39; is just an full on idiot, or just made is own opinion on songs. because how the fuck are some songs &#39;&#39;disliked&#39;&#39; | Sentiment: negative | Score: -0.968
31: 31: 4:57 he instant fading the smile and he heartbeat up to 93 in angry lmao | Sentiment: positive | Score: 0.4767
32: 32: lmaooooooooooooooooooooooooooooooooo he said it was the same beat as the other song i am crying | Sentiment: negative | Score: -0.4767
33: 33: she made a saturday? ⚰️ | Sentiment: neutral | Score: 0.0
34: 34: 8:00 we know ohne was not talking about the song | Sentiment: neutral | Score: 0.0
35: 35: this video should be called - justin bieber songs | Sentiment: neutral | Score: 0.0
36: 36: only us songs | Sentiment: neutral | Score: 0.0
37: 37: so many banger songs i like 70 % of it xd | Sentiment: positive | Score: 0.743
38: 38: friday.. that&#39;s all you need to know.. oh yeah.. ofc, there it is.. friday man | Sentiment: positive | Score: 0.296
39: 39: i&#39;m a new viewer, and now subscriber. i love this dude&#39;s content! | Sentiment: positive | Score: 0.6696
40: 40: 13:00 he hated brainrot people like u 💩 | Sentiment: negative | Score: -0.4019
41: 41: notice how there is no beatles songs | Sentiment: negative | Score: -0.296
42: 42: recking ball drama was about death of hanna montana and birth of new miley i think | Sentiment: negative | Score: -0.5994
43: 43: a little bit of brazilian referenze about music 97, the video doesn&#39;t cover the hate part xd, but basically there was a girl who sings very very badly, alongside this main singer, doing voice like a cattle boiling water xd that&#39;s why it was hated a lot back on the days | Sentiment: negative | Score: -0.6915
44: 44: bebar hater this guy who made this video | Sentiment: negative | Score: -0.4215
45: 45: idk about you but i remember hating on justin bieber so much back in around 4th grade. turns out, his old songs are actually kinda bop and i now feel nostalgic listening to em. | Sentiment: negative | Score: -0.6858
46: 46: nicki minaj’s “super bass” isnt talking about bass, its talking about “superb ass”. like she got a phat ass. | Sentiment: negative | Score: -0.25
47: 47: bro i love the first song, we bumpin ts all summer ❤❤ | Sentiment: positive | Score: 0.9274
48: 48: they need to make this video again but highest dislike to like ratio some of these songs are absolute bangers | Sentiment: neutral | Score: -0.0387
49: 49: naah man some of these songs are gold i don&#39;t understand this list | Sentiment: neutral | Score: 0.0
50: 50: this list is fuckin wack some absolute bangers in here | Sentiment: neutral | Score: 0.0
51: 51: 8:46 as a spnaish person this shit aint hated this is the goat of like spanish music viva gente de zona for making so many classics | Sentiment: positive | Score: 0.1576
52: 52: how can people hate on judas, is literally one of the most iconic song of the last 20 years | Sentiment: negative | Score: -0.5719
53: 53: 2:25 banger shakira never misses 😂😂😂😂😂 | Sentiment: positive | Score: 0.9345
54: 54: rebecca and justin were fighting demons lowkey | Sentiment: negative | Score: -0.3612
55: 55: 13:06 what transformers guy😭 | Sentiment: negative | Score: -0.4767
56: 56: yea, all popular songs will have a lot of dislikes, even if it&#39;s a beloved song. being on this list doesn&#39;t necessarily mean anything. | Sentiment: positive | Score: 0.5267
57: 57: banger bangher | Sentiment: neutral | Score: 0.0
58: 58: i came into this looking for thick of it | Sentiment: neutral | Score: 0.0
59: 59: where is bibisbeautypalace with how it is? | Sentiment: neutral | Score: 0.0
60: 60: it&#39;s crazy that he looks at all these pop stars with ghost writers and production teams who do everything for them (except sing) and shit like bieber who is literally just an industry plant and think any of it is at all good. it&#39;s all unoriginal trash. it&#39;s like loot boxes. they are fun because they are designed to target the parts of your monkey brain. no different than this over designed shitty pop music. | Sentiment: negative | Score: -0.4404
61: 61: pollito pio is much more older than vegas, vegas was published on 2022 and pollitio pio on 2012 | Sentiment: neutral | Score: 0.0
62: 62: admita:você não esperava ver a maísa nesse vídeo | Sentiment: neutral | Score: 0.0
63: 63: most replayed at 7:58? seriously? | Sentiment: negative | Score: -0.264
64: 64: 9:36 real! | Sentiment: neutral | Score: 0.0
65: 65: 8:41 never heard this song that’s crazyyy | Sentiment: neutral | Score: 0.0
66: 66: i cant believe this video made me realize 99% of justin biebers songs really werent that bad | Sentiment: positive | Score: 0.4791
67: 67: the selfie song is the most shitty stuff human has ever created across all the entire human history | Sentiment: negative | Score: -0.4391
68: 68: 19:45 so that&#39;s where jan böhmermann parody&#39;d xd | Sentiment: positive | Score: 0.5859
69: 69: &quot;see you again&quot; hit hard in the cinema | Sentiment: negative | Score: -0.1027
70: 70: 6:00 it&#39;s the &quot;ooh&quot; that&#39;s so annoying | Sentiment: negative | Score: -0.541
71: 71: randy marsh on 84 | Sentiment: neutral | Score: 0.0
72: 72: ahi also totally dont getthat wiggle wiggle shitngl😹🙈and wtf does little little twinkle star doing herelike wtf🤣 | Sentiment: negative | Score: -0.3612
73: 73: ohnepixel&#39;s vibe makes any song better lol | Sentiment: positive | Score: 0.6908
74: 74: iswtg pulcino pio is fire | Sentiment: negative | Score: -0.34
75: 75: nicki minaj was hated bcuz the videos controversial cuz she shakes butt right | Sentiment: negative | Score: -0.7184
76: 76: so wie photoshop | Sentiment: neutral | Score: 0.0
77: 77: the message to take home is that &quot;more love comes with more hate&quot; | Sentiment: positive | Score: 0.6369
78: 78: the justin beiber hate when i was young was forced. ngl | Sentiment: negative | Score: -0.7717
79: 79: i love &quot;call me maybe&quot; 😢 | Sentiment: positive | Score: 0.2732
80: 80: love how he keeps throwing in random german words lol | Sentiment: positive | Score: 0.7906
81: 81: they should make most dislaked by ratio not total amount | Sentiment: neutral | Score: 0.0
82: 82: everyone had a crush on ariana ohne | Sentiment: negative | Score: -0.1531
83: 83: i never really understand the hate with jb before (i was either too young to understand or just really don&#39;t see him as bad as they portray). anyways, it was before i saw a game in y8 website where you can drag a limpy body of bieber across the screen like hitting him on the walls. now that i have grown up, i realize that bieber was just as young and he went through too much media and audience hate. i feel really sad about thinking about it. | Sentiment: negative | Score: -0.932
84: 84: warum englisch | Sentiment: neutral | Score: 0.0
85: 85: i get the point why most of them are hated because played in public so many times that hearing that shit for one more time is became unbearable when you are totally fine to play in repeat the same song or playlist for 10 to 20 times, but when it gets played everyday - you just can&#39;t hear it. this isn&#39;t about playes or views, this is about reverse mainstream effect. | Sentiment: positive | Score: 0.3134
86: 86: ok so how did &quot;el pollito pio&quot; copy &quot;vegas&quot; if vegas was released 3 years ago and el pollito pio was realeased 12 years ago? | Sentiment: positive | Score: 0.296
87: 87: he is actually right at 17:17. if you speed up that song to 1.25x and slow the other one down to .75x the beats sound really similar | Sentiment: neutral | Score: 0.0
88: 88: apored hater gehen international das darf die red army nicht zulassen | Sentiment: negative | Score: -0.7717
89: 89: &quot;ok, ok, we hear you.. we will take the ratio into account now!&quot;&quot;stupid randoms.. the list not even change that much lol&quot;the entire list changes, half the videos aren&#39;t there anymore and the rest got all sorted out | Sentiment: neutral | Score: 0.0
90: 90: this list is just bitter teen boys in the 2010s downvoting everything girls like | Sentiment: negative | Score: -0.0772
91: 91: ??? there are so many bangers in here wtf do you mean most disliked songs??? | Sentiment: negative | Score: -0.8295
92: 92: cringe | Sentiment: neutral | Score: 0.0
93: 93: 2:01 the like got disliked | Sentiment: negative | Score: -0.0516
94: 94: who the hell hate twinkle star mf | Sentiment: negative | Score: -0.8519
95: 95: the dislikes &quot;metric&quot; for this is a bit misleading. popular songs get a ton of likes and proportional amount of dislikes (usually 10%), so if a song is really big it would also garner a lot of dislikes even though most people like the songs. even normal youtube videos&#39; like/dislike ratios are like that most of the time. | Sentiment: neutral | Score: 0.0202
96: 96: this just shows we always hating on new stuff for no reason. cuz atleast half of these songs we can collectively agree on they are not bad at all. | Sentiment: neutral | Score: -0.0387
97: 97: no despasito !? this shiet is fake wth man !! | Sentiment: negative | Score: -0.8617
98: 98: bro the dude who made this compilation is legit stupid. only displaying the dislikes but not the vies/ likes and ratios/ percentages speaks huge volumes about the copetence of that guy | Sentiment: negative | Score: -0.4763
99: 99: 63 wtffffffffffffff | Sentiment: neutral | Score: 0.0
100: 100: lil jon you cappin | Sentiment: neutral | Score: 0.0
101: 101: ariana break free on the list i mean wtf | Sentiment: negative | Score: -0.128
102: 102: on the floor more like 6 foot under god daym | Sentiment: positive | Score: 0.5984
103: 103: 7 11 wtf is that | Sentiment: negative | Score: -0.5859
104: 104: gaga judas no way no taste the team that made this wtf | Sentiment: negative | Score: -0.7015
105: 105: royal was banging too | Sentiment: neutral | Score: 0.0
106: 106: i hate justin b but love yourself was lit | Sentiment: positive | Score: 0.6652
107: 107: bro im 2.45 in man got taste but i can see his down fall coming lol | Sentiment: positive | Score: 0.5719
108: 108: why isnt how it is by bibisbeautypalace in there? | Sentiment: neutral | Score: 0.0
109: 109: justin bieber playlist | Sentiment: neutral | Score: 0.0
110: 110: 12:36 nooo sia :( | Sentiment: negative | Score: -0.4404
111: 111: this guy clearly likes girly songs | Sentiment: positive | Score: 0.6705
112: 112: i hate cs but i fkn love you | Sentiment: positive | Score: 0.6652
113: 113: а где моргенштерн? авхавхха | Sentiment: neutral | Score: 0.0
114: 114: 7:39 warum hast du eine bastighg stream liste | Sentiment: neutral | Score: 0.0
115: 115: i can&#39;t believe almost all of jb&#39;s song are in here 😂 | Sentiment: positive | Score: 0.4404
116: 116: its actually so insane that apored made the list three times. | Sentiment: negative | Score: -0.541
117: 117: macht meinermeinung nach kein sinn bei 17:40 das ein 12 jahre alter song von einem 2 jahre alten song den beat kopiert?!? 🤔 | Sentiment: neutral | Score: 0.0
118: 118: i know almost 40% of the songs on the list soly because of &quot;weird al&quot; yankovich | Sentiment: neutral | Score: 0.0
119: 119: 100xcopyright strike lmao. | Sentiment: positive | Score: 0.5267
120: 120: bro 9:40 has me dead why did he get so mad | Sentiment: negative | Score: -0.8561
121: 121: 7:02 is used for gta v life thug clips who rememebers hahaha , idk for me 12:53 the see you agein is sad , man rip paul | Sentiment: neutral | Score: 0.0258
122: 122: justin bieber was also something we called cringe when he was younger, but now it&#39;s really nostalgic and i&#39;m the biggest fan alive hahaha. also to all the other songs (almost), they&#39;re so good, they can&#39;t be hated. | Sentiment: positive | Score: 0.877
123: 123: 12:41 i get the rest of the songs being a bit bad or downright terible, but this, this is diabolical | Sentiment: negative | Score: -0.3071
124: 124: 4:40 is just every gojo vs sukuna edit | Sentiment: neutral | Score: 0.0
125: 125: nicki minaj and justin biber sucks as always but taylor swift&#39;s songs aren&#39;t that bad actually. also who the fck is rebecca black | Sentiment: negative | Score: -0.7579
126: 126: where the freak is thick of it.hahhaha | Sentiment: negative | Score: -0.4404
127: 127: 6:30 me too when i was young and she had that show playing kat on nickelodeon, then wokeness hit her. | Sentiment: positive | Score: 0.2023
128: 128: ohnepixel brisando no baile de favela | Sentiment: negative | Score: -0.296
129: 129: &quot;metralhadora&quot; o que eu me ri quando essa tocou 😂😂😂 | Sentiment: positive | Score: 0.8271
130: 130: crazy how most of the song is my favs. | Sentiment: negative | Score: -0.34
131: 131: 7:58 i wonder why its the most replayed 🙏😭 | Sentiment: negative | Score: -0.4767
132: 132: some of these have genuinely bad or annoying production choices and then the rest are just... popular | Sentiment: negative | Score: -0.5267
133: 133: 7 rings from ariana grande is from enter the gungeon (the soundboard) | Sentiment: neutral | Score: 0.0
134: 134: how come you like one direction but not a fan of backstreet boys? | Sentiment: negative | Score: -0.1761
135: 135: what i&#39;m surprised about is that there is no despacito in this mfking listedit: oh fk iits 8 years ago | Sentiment: negative | Score: -0.0772
136: 136: lmao u see his heart rate go up when he talks about arianna grande. bro loves that girl | Sentiment: positive | Score: 0.9153
137: 137: 8:20 just because shit is popular does not make it good... they get played on radio which 90% of the &quot;playerbase&quot; has to listen to during work because either headphones or earplugs are prohibited (causing massive dislike numbers because most of these songs are shit) | Sentiment: negative | Score: -0.7909
138: 138: why the fuck is baile de favela dislike 😭 | Sentiment: negative | Score: -0.8481
139: 139: you are right for 18:10 | Sentiment: neutral | Score: 0.0
140: 140: i was waiting for thick of it to be in first place | Sentiment: neutral | Score: 0.0
141: 141: miley cyrus here like every 5 song | Sentiment: positive | Score: 0.3612
142: 142: most of them sound more like a song than nowadays top liked... | Sentiment: positive | Score: 0.7501
143: 143: will sigma boy be one of the most hated song? | Sentiment: negative | Score: -0.0754
144: 144: transformer😂😂😂😂😂 | Sentiment: positive | Score: 0.926
145: 145: beebs won like 25 song in the top 100 most dislike songs. impressive feat to have that many haters watching | Sentiment: positive | Score: 0.6674
146: 146: im not surprised that brazil appeared many times here, our biggest musicians suck and i just cant call them artists at all | Sentiment: negative | Score: -0.5523
147: 147: bro you are more famous than real ohnepixel | Sentiment: neutral | Score: 0.0
148: 148: caramba | Sentiment: neutral | Score: 0.0
149: 149: no. 88 saturday by rebecca black: &quot;who is rebecca black?&quot;no. 87 friday by rebecca black: &quot;i love this song&quot; | Sentiment: positive | Score: 0.6369
150: 150: i dont understand the hate for justin bieber man like when his songs released the world was jumping😂 it feels forced | Sentiment: positive | Score: 0.6595
151: 151: misletoe is ❤‍🔥though | Sentiment: neutral | Score: 0.0
152: 152: i dont personally listen to bieber but hes just a dude that can sing really well. hate feels mega forced | Sentiment: negative | Score: -0.8115
153: 153: wap bap would be #2 on this list lmao | Sentiment: positive | Score: 0.5994
154: 154: where is wapbap | Sentiment: neutral | Score: 0.0
155: 155: the amount of justin bieber songs in this video is insane | Sentiment: negative | Score: -0.4019
156: 156: 19:37 dance till you&#39;re dead | Sentiment: negative | Score: -0.6486
157: 157: babu baby baby oil | Sentiment: neutral | Score: 0.0
158: 158: sorry for jb, his songs are good!!! | Sentiment: positive | Score: 0.5386
159: 159: 1:24 i 100% agree with ohne on this one ! scream and shout is still a banger ! | Sentiment: negative | Score: -0.1984
160: 160: rebbeca black is legend in poland, friday cover in polish | Sentiment: neutral | Score: 0.0
161: 161: die wab bap von bibisbeautypalace vergessen. das ding hat fast 4 mio dislikes | Sentiment: negative | Score: -0.765
162: 162: most of them are banger songs | Sentiment: neutral | Score: 0.0
163: 163: 2010&#39;s was one hell of a decade for music | Sentiment: negative | Score: -0.6808
164: 164: feeling it with el pollito pío 😂😂😂😂😂😂😂😂😂😂 | Sentiment: positive | Score: 0.9808
165: 165: 80% is justin | Sentiment: neutral | Score: 0.0
166: 166: see you again on this list got me fucked up | Sentiment: negative | Score: -0.6597
167: 167: on the floor is a banger bro | Sentiment: neutral | Score: 0.0
168: 168: scream and shout is crazy for most disliked too bro | Sentiment: negative | Score: -0.796
169: 169: part in the usa wasn’t hated bro no cap and im a dude | Sentiment: negative | Score: -0.7506
170: 170: what about &quot;wap bap&quot; by bibisbeautypalace? | Sentiment: neutral | Score: 0.0
171: 171: bro not the reaction obviously but this video is so biased or like ohne said it&#39;s like that 1% out of so many likes that it&#39;s one of the most disliked but there are just sooo many bangers or songs that are not that bad and some are indeed bad even few justin bieber songs aren&#39;t that bad too. | Sentiment: negative | Score: -0.5128
172: 172: mto engraçado ser br e se deparar com mc binladen, baile de favela, maisa cantando e anitta kkkkkkkkkkkkkk | Sentiment: neutral | Score: 0.0
173: 173: i&#39;m just gonna say i literally listened to scream and shout like few moments ago even though i haven&#39;t listened to it in a while and you&#39;re telling me it&#39;s hated????? | Sentiment: negative | Score: -0.7476
174: 174: i think most old lady gaga songs have aged quite well | Sentiment: positive | Score: 0.3384
175: 175: no is a banger only last 1/3 tho | Sentiment: negative | Score: -0.296
176: 176: on first place shoulded be timati with his most disliked video on youtube | Sentiment: negative | Score: -0.4576
177: 177: nah bro tweakin&#39; on the elsa that shit is objectively so spammed its garbage | Sentiment: negative | Score: -0.6124
178: 178: 6:25 me too man | Sentiment: neutral | Score: 0.0
179: 179: 7:31 if you listen to 7 rings hardstyle it actually makes it even better. | Sentiment: positive | Score: 0.4404
180: 180: 7:31 bro i so agree, but in secret tho | Sentiment: positive | Score: 0.2779
181: 181: all these songs fall into one or multiple of these categories:people who have done shit that&#39;s questionable, controversial or despicable shit or thirst choreography with intentional camera anglesrepetitive lyricsoutfit choice, or lack ofsongs that are just hated by all adults but adored by all kidssongs with shit lyrics, lack of choreography and an over used melody, but just worksgot famous after mum uploaded a song on youtubedisliked because woke viewermy thoughtswho the fuck is rebecca black, i cant stand bieber either, and nicki minaj is the thirstiest of them all | Sentiment: negative | Score: -0.9473
182: 182: i have one question, why is his heart rate so high | Sentiment: positive | Score: 0.0772
183: 183: #31 is in spanish | Sentiment: neutral | Score: 0.0
184: 184: 24:34 most hated but my entire hs sings along when it comes on during hoco | Sentiment: negative | Score: -0.4111
185: 185: he opened a case after that | Sentiment: neutral | Score: 0.0
186: 186: bro one of these songs are is such a banger | Sentiment: neutral | Score: 0.0
187: 187: 17:08 mhm sample culture | Sentiment: negative | Score: -0.6249
188: 188: how the fk is adele like the most dislerieked fkn video on youbet? 2*ta0 | Sentiment: positive | Score: 0.3612
189: 189: 14:00 either some people in chat are legit brain dead or trolling, how is charlie puth an industry plant? | Sentiment: negative | Score: -0.6486
190: 190: ohne direction hahahaha that got me 😂😂😂 | Sentiment: positive | Score: 0.8271
191: 191: brazil scores 37 songs in raking, wow | Sentiment: positive | Score: 0.5859
192: 192: why every time he sees a booty his heartrate goes noticeably up? | Sentiment: neutral | Score: 0.0
193: 193: im just asking myself here, how did apored get into this but not &quot;bibi h - how it is ( wap bap ... )&quot; ??? | Sentiment: neutral | Score: 0.0
194: 194: number 1 is still wap bap by bibisbuetypalace | Sentiment: positive | Score: 0.0772
195: 195: blurred lines is about g-rape... thats why its disliked | Sentiment: negative | Score: -0.4019
196: 196: rebecca black looks like my cousin and sounds like her too bro 💀💀💀 | Sentiment: positive | Score: 0.6124
197: 197: sam smith is done hahaha thank god what a freak that thing was | Sentiment: positive | Score: 0.6486
198: 198: the fact that i had to mute half of this video | Sentiment: neutral | Score: 0.0
199: 199: where despacito | Sentiment: neutral | Score: 0.0
200: 200: bro really said shakira did tik tok | Sentiment: neutral | Score: 0.0
201: 201: transformers is crazy bro | Sentiment: negative | Score: -0.34
202: 202: at 21:21 bloods fr under the water w that mic wtf is that xd | Sentiment: neutral | Score: 0.0
203: 203: poopeater447 | Sentiment: neutral | Score: 0.0
204: 204: that many views on the bangers they get alot of dislikes lol | Sentiment: neutral | Score: 0.0258
205: 205: where is wap bap? | Sentiment: neutral | Score: 0.0
206: 206: why is his heartrate so high hes listening to music 😭😭 | Sentiment: negative | Score: -0.7351
207: 207: rebecca black was legendary....hated to the ground 😂😂😂 | Sentiment: positive | Score: 0.8271
208: 208: these songs made me realize i&#39;m a fossil | Sentiment: neutral | Score: 0.0
209: 209: transformers xd | Sentiment: positive | Score: 0.5859
210: 210: ill add one more dislike to those songs | Sentiment: negative | Score: -0.6901
211: 211: dislike is one thing, hating is another. i&#39;m no jb fan, but i don&#39;t lie when i say most of the stuff he put out were real bajgers even when he was a kid. loved his voice. jealousy can do numbers, and some ppl blindly hop on the band wagon | Sentiment: negative | Score: -0.1608
212: 212: why are there so many women shaking their ass i dont get it | Sentiment: negative | Score: -0.6666
213: 213: bro justin b. was the bestthey just jealous hecks | Sentiment: negative | Score: -0.4588
214: 214: how could you hate icejjfish | Sentiment: negative | Score: -0.5719
215: 215: 21:15 adele went from the outside to the inside | Sentiment: neutral | Score: 0.0
216: 216: why see you again is so disliked bro | Sentiment: negative | Score: -0.541
217: 217: 12:46 transformers ??? xd | Sentiment: positive | Score: 0.6531
218: 218: 15:39 how can someone hate booty? i&#39;m sure all the dislikes are flat girls 😅 xd the music video is fire, the beat is good and iggy&#39;s part slay!!! | Sentiment: positive | Score: 0.5538
219: 219: horrible music taste | Sentiment: negative | Score: -0.5423
220: 220: 23:20 i very much like this jb song but that is not a unique beat my guy, it&#39;s just an acoustic guitar xd | Sentiment: positive | Score: 0.7958
221: 221: 13:13 charlie poot &lt;/3 | Sentiment: neutral | Score: 0.0
222: 222: justin, psy, nicki minaj and miley cyrus was basicly the whole list | Sentiment: neutral | Score: 0.0
223: 223: all i learned from this is that i should watch more rihanna music videos | Sentiment: neutral | Score: 0.0
224: 224: 20:38 yea he whipped it out (pause) and made his cousin nae nae to the heavens if im not wrong | Sentiment: positive | Score: 0.6433
225: 225: ta tranquilo ta favoravel ta tranquilo ta favoravel | Sentiment: neutral | Score: 0.0
226: 226: charlie poot | Sentiment: neutral | Score: 0.0
227: 227: the most succesfull are the most hated | Sentiment: negative | Score: -0.6697
228: 228: so many songs i never heard and so many that i think shouldn&#39;t have been so high. times change | Sentiment: neutral | Score: 0.0
229: 229: who is disliking the weeknd !? 😭😭 | Sentiment: negative | Score: -0.8313
230: 230: 19:16 it was that image right there... | Sentiment: neutral | Score: 0.0
231: 231: 15:16 l parents hahahahaha | Sentiment: positive | Score: 0.4588
232: 232: 8:06 we all used to listen to that, with the sound off... | Sentiment: neutral | Score: 0.0
233: 233: 7:52 banger | Sentiment: neutral | Score: 0.0
234: 234: 7:36 we know why you like that song ohne... | Sentiment: positive | Score: 0.3612
235: 235: 6:26 so real, was my childhood crush ahhahaha | Sentiment: negative | Score: -0.1531
236: 236: 1:30 ohne the goat for that | Sentiment: neutral | Score: 0.0
237: 237: anything but cs... | Sentiment: neutral | Score: 0.0
238: 238: i read friday autistic version | Sentiment: neutral | Score: 0.0
239: 239: the weeknd hills gotta be racist wt# how the weeknd deserves justice | Sentiment: negative | Score: -0.1531
240: 240: l take | Sentiment: positive | Score: 0.4588
241: 241: el pollito pío is older than bro 😭😭😭😭🙏🙏 | Sentiment: negative | Score: -0.9081
242: 242: ахаха рома желудь | Sentiment: neutral | Score: 0.0
243: 243: to cook your brain, watch it at 2x | Sentiment: neutral | Score: 0.0
244: 244: scream and shout is banger why it is so disslicked? | Sentiment: negative | Score: -0.4019
245: 245: how are half o them hated? | Sentiment: negative | Score: -0.6369
246: 246: how any of psy songs are disliked is beyond me, the dude shits hits | Sentiment: negative | Score: -0.7003
247: 247: how is pillowtalk so hated, i hate od and their members but that song is a banger | Sentiment: negative | Score: -0.6873
248: 248: 31: omg og pollito pio is up there? fuck i get it but many many more fuck with it and people still play it because it&#39;s a kids songa guilty pleasure and i memorized it.also... no one that disliked the video has plagiarism in their mind | Sentiment: negative | Score: -0.8534
249: 249: hahahahahahahahahahahahaha colibritany made it omfg thats peak mexican lore!it is trash!!!!! hot dumpster fire!!!!!! | Sentiment: negative | Score: -0.6331
250: 250: oh 7 rings is goated don&#39;t even mess with it | Sentiment: negative | Score: -0.3612
251: 251: 3:05 if you don&#39;t know rebecca black you&#39;re in for a treat... just wait till you get to her previous song friday (yeah this seems to be an attempt at a sequel) its gotta be high on the list | Sentiment: positive | Score: 0.5994
252: 252: 1:27only men of culture will turn that song down immediately and know why hahahahaha | Sentiment: neutral | Score: 0.0
253: 253: bibis wab bab was missing with 3,6mio dislikes | Sentiment: negative | Score: -0.5994
254: 254: me casually using this list to add songs to my playlist | Sentiment: positive | Score: 0.1779
255: 255: the most german disliked song is missing lmao bibi h - how it is ( wap bap ... ) | Sentiment: negative | Score: -0.0717
256: 256: what about baby shark???? | Sentiment: neutral | Score: 0.0
257: 257: fn live event 7:48 jumpscare😮‍💨 | Sentiment: neutral | Score: 0.0
258: 258: justin got so much hate when he was young. crazy | Sentiment: negative | Score: -0.749
259: 259: i can proudly say i contributed in gummy bear being up there | Sentiment: positive | Score: 0.5574
260: 260: he opened a case after this | Sentiment: neutral | Score: 0.0
261: 261: 4:58 all kids disliked it because they dont want to sleep | Sentiment: negative | Score: -0.4445
262: 262: bro these songs are bangers | Sentiment: neutral | Score: 0.0
263: 263: &quot;it&#39;s a bop. but it&#39;s a not special bop&quot; is the best possible way to describe a lot of these songs. especially blurred lines. | Sentiment: positive | Score: 0.6011
264: 264: meu país mais uma vez se destacando, mesmo por ter musica ruim, vai brasil🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷 | Sentiment: neutral | Score: 0.0
265: 265: the hills is a hated song wtf? | Sentiment: negative | Score: -0.8402
266: 266: let us be honest. all this hate to bieber came just from jealous guys who never had hundreds of millions of girls going wet just looking at their picture or hearing their voice. bieber lived their dream. objectively looked, bieber was a very good looking guy and good singer and his songs also were a quality production (i mean technically good, but also catchy). same goes for many boybands. backstreet boys was loved by girls and hated by men. take that, same story. and so on. men called them f*gs and pussies etc. but simple thing is that they were just good looking, good singing and extremely popular ....yeah sure, of course i would very much like the same kind of attention from beautiful girls they get. but that does not mean that i start to lie about their musical and artistical quality ....where the hate to miley cyrus comes from i do not know. she is an amazing singer and superbeautiful incredibly sexy woman ..... | Sentiment: positive | Score: 0.9895
