1: 1: コロナ禍のmake you happy は名曲でした。 | Sentiment: None
96: 93: unravel のリアクション好きすぎる。この言わなくてもわかるだろ感 dude i love your reaction when unravel plays | Sentiment: positive
97: 94: the fact that yui, kyary pamyu pamyu, tofu beats and chanmina aren’t on here is wild to me | Sentiment: None
98: 95: 2:43 this song made me cry like a baby when i first listened to it. instantly became one of my all time. | Sentiment: positive
99: 96: lessgo yoru ni kakeru and odo and lemon and many others ha | Sentiment: None
100: 97: love ado💙 one of my favoriteslove the rest too❤ | Sentiment: positive
101: 98: you should watch the music video of number 88. its titled niji (rainbow). its about life after marriage. and also its a doraemon movie theme song where nobita and shizuka got married. | Sentiment: None
102: 99: ppap is the best song ever. btw, that troll song singer is actually a comedian. he had series of these and well know in asia for his non-sequitur humor. (it&#39;s not monty python... but more like a subdue benny hill) | Sentiment: None
103: 100: should prob point out these songs are top due to anime (for the most part).it is not only japanese people listening to these, but just anime fans in general, so quite frankly it is probably a large amount of these streams being western. | Sentiment: None
104: 101: 20:44 natori mentioned!?!!!🔥🔥🔥 natori for the president | Sentiment: None
105: 102: 80% of this list is just uninspired jpop slop. y&#39;all know it | Sentiment: None
106: 103: 29:47 🖋️🍍🍎🖋️ | Sentiment: None
107: 104: i&#39;m shocked that there are no songs by miku or vocaloid, are they not included in the list?31:00 😭😭😭😂😂 | Sentiment: None
108: 105: back number is my fav japanese band ever. | Sentiment: None
109: 106: 18:50 glad to see kyouran hey kids this high even after like 9 years..❤ | Sentiment: positive
110: 107: bro i wish mono no aware were in the list. tbf they are like very old in internet terms | Sentiment: None
111: 108: you have micheal jackson dominating the list for sure | Sentiment: None
112: 109: 海の幽霊聞いてみてほしいな | Sentiment: negative
113: 110: no more &quot;(rapper) reacting to japanese song&quot; 🥀 nick is not officially retired of being rap | Sentiment: None
114: 111: kizaru 💀💀💀 | Sentiment: negative
115: 112: i am japanese. i use a translator to make comments. i&#39;m sorry if it&#39;s a strange sentence.🤖💦&quot;lemon&quot; is the theme song of the drama, a song that sings painfully about the sadness and loss of a loved one, and became popular because yonezu&#39;s own family&#39;s death had a significant impact on the production and many people sympathized with the lyrics.i&#39;m glad you seem to be having a good time! thank you for listening to japanese songs.🥳💖 | Sentiment: None
116: 113: i actually suggest listening to best 100 vocaloids prob posted by same personit&#39;s so cool (by japanese i don&#39;t know about ya) | Sentiment: None
117: 114: how does bro not know of ppap😭🙏 | Sentiment: positive
118: 115: trust me, i used to work in japanese karaoke from 2018-2021. that lemon song just keeps on number 1 on chart for whole year. that shows how crazy japanese love that song | Sentiment: positive
119: 116: no asain kung-fu gen and flow wtf japan 😢 | Sentiment: None
120: 117: real on&#39;s know ppap (osu ninjas) | Sentiment: positive
121: 118: 29:48 dann didn&#39;t know kizaru could spit bars | Sentiment: None
122: 119: yesss , do babymetallll | Sentiment: None
123: 120: this is so good ,that is why i listen now only japan song ... look 100 in usa , 80-90% its about money ,sex itp and in wideo they just show only ass . in 100 japan song you got 0 butt.. | Sentiment: None
124: 121: number 4? i caught my japanese friend listening to tokyo drift at school and i asked him if that&#39;s a popular song. he said it was very popular. didn&#39;t realize how serious he was. | Sentiment: positive
125: 122: night dancer on top | Sentiment: positive
126: 123: some wild ones on here. not bad, but like just okay at absolute best. | Sentiment: positive
127: 124: no mukanjyo, no avid, no spark again, its so sad | Sentiment: None
128: 125: ok | Sentiment: positive
129: 126: try to find out why kenshi wrote the &quot;lemon&quot; song in the first place and you wouldn&#39;t be surprised why that song is so popular among the japanese people. | Sentiment: None
130: 127: where is suzumeeee | Sentiment: None
131: 128: 唐突なppapで爆笑して死にそう | Sentiment: None
132: 129: the ones by dism and yoasobi are always good ones in my opinion and king gnu | Sentiment: positive
133: 130: not a single asian kungfu generation song? i don’t believe it’s a real top 100 💔 | Sentiment: positive
134: 131: need more | Sentiment: None
135: 132: ppap最高 | Sentiment: negative
136: 133: kenshi was suffering from depression, but writing song is like his light, like life gives you lemons. | Sentiment: positive
137: 134: tbh, i prefer kenshi yonezu&#39;s orion waaaaaaay more than lemon... | Sentiment: None
138: 135: 14:40 nostalgia 🔥 | Sentiment: None
139: 136: 91, reminds me of that one ratatatat doujin :( | Sentiment: None
140: 137: japan&#39;s no. 1 glazer | Sentiment: None
141: 138: 33:46 the song lemon actually has a much deeper meaning that i think everyone can relate to | Sentiment: negative
142: 139: yeah nah that yuri song goes hard, bro has an amazing voice | Sentiment: positive
143: 140: “the j-pop top 200 is out! | Sentiment: None
144: 141: request：orangestar - surges soooooo gooood | Sentiment: negative
145: 142: unnatural wouldn&#39;t slap nearly as hard without lemon. | Sentiment: None
146: 143: ppapに困惑するニコラスニキ好き | Sentiment: negative
147: 144: can guys help me translate n29 i love her voice hehe❤ | Sentiment: positive
148: 145: damn i dont know that you’re a big fan of one ok rock 😭 hell yeah, my fellow one ok rockers👊 | Sentiment: positive
149: 146: jaja all the top 100 are really good songs of course i will not hear all the song but a lot yes because are some style of music i dont like it, i really hope see unlucky morpheus in this top one day or hannabie | Sentiment: positive
150: 147: as a person who’s japanese… やばい、懐かしすぎていつでも聴いても頭の中で響くぐらい好きw | Sentiment: negative
151: 148: lemonは命の重みが伝わるから大好きなんだよな | Sentiment: negative
152: 149: back number goat | Sentiment: negative
153: 150: yoasobi supremacy | Sentiment: None
154: 151: nick we all love you, our fave pre watcher | Sentiment: positive
155: 152: i want that reaction to top 100 american songs you did at the end lmao | Sentiment: None
156: 153: 7:29 he dropped an album recently. it&#39;s called &#39;under blue&#39; | Sentiment: None
157: 154: bad songs | Sentiment: negative
158: 155: nick should do a reaction to pen pineapple apple pen. it&#39;s a classic | Sentiment: negative
159: 156: didn&#39;t oda confirm that he based kizaru on the ppap guy? | Sentiment: None
160: 157: yes, u gotta hear baby metal x bmth | Sentiment: negative
161: 158: nicholas, i have a favor to ask you. please watch the live video of sakanaction&#39;s song &quot;music.&quot; the pleasure will send you to heaven. | Sentiment: None
162: 159: ohhh prx vs heretic early | Sentiment: None
163: 160: nico-niki, you really seem to know almost every song!! impressive! appreciate you showing love for japanese music!! | Sentiment: positive
164: 161: the fact that ado has gotten so popular so fast is insane ngl, i swear i didn&#39;t hear about ado until like two years ago and now looking at the list, its insane how popular she gotten, maybe i was just living under a rock but like, i felt like she gotten really popular really fast. | Sentiment: positive
165: 162: i like when you say wtf in 9.47 without sound...you don&#39;t even wanna disturb the good song....always love your reaction thought..... | Sentiment: positive
166: 163: ニコラスニキのリアクション動画マジで好きすぎて見てるとこっちまで楽しくなる！bump of chickenとかも聴いて欲しい！ | Sentiment: None
167: 164: i watch from 100 to 34 and wonder why not any of lisa , yellow monkey or even larc en ciel in here ... | Sentiment: None
168: 165: &quot;no wonder it&#39;s 69&quot; got me dude | Sentiment: None
169: 166: nicholas, you should react tuki. 『騙シ愛』 | Sentiment: None
170: 167: back number is fucking good | Sentiment: positive
171: 168: bro 30:17 is literally at this point 😭😭💀💀💀 | Sentiment: None
172: 169: ppap lol | Sentiment: None
173: 170: it&#39;s the most forced reaction i&#39;ve ever seen ☠️ | Sentiment: negative
174: 171: watching the stupid anime watchers weebs in the chat mad is my favorite part | Sentiment: negative
175: 172: i cant belive tuki bansanka isnt here.... t-t | Sentiment: negative
176: 173: pretender by official higedandism is one of my favorites, i&#39;m glad it&#39;s on #6 | Sentiment: None
177: 174: taishō sugō aka masaki suda played the very smart yet confined phillip in kamen rider double/ w. he was the wizard in the shazam movie although he overdubbed lines translating into japanese. | Sentiment: None
178: 175: if you’re heading back to japan, there’s a massive warning about foreigners. thanks to some not so great youtubers that are disrespecting and disrupting everyone, some places are banning people of non-japanese descent. the japanese people are very meek and don’t fight back leading to people taking advantage of them. it’s also lead to a massive drop in japanese learning english. i know new york city has a japanese language program because i saw signs for it last time i was there basically they teach you japanese language. | Sentiment: None
179: 176: you do realize that no musical artist makes any money in japan at all. they get a portion of cd or e-sales but they barely actually earn anything. everyone does a standard 9 to 5 to make ends meet. artists only play for the love of music. it’s actually stated in the contracts they signed. it’s such a waste of labor. actors are also paid a certain amount which is why they have to do multiple acting jobs to earn a decent wage. they might do a live shot monday then go to a voice acting session tuesday then back again to live back to another voice gig or commercial shoot. it just keeps going through the week. most music artists in japan retire by age 35 because they can’t keep up with the wage issues. actors usually retire around age 45. it’s just a vicious cycle. | Sentiment: negative
180: 177: i didn’t realise how big hige dandism is but ofc cos they only make bangers | Sentiment: None
181: 178: 32:43 &quot;depression pop&quot; 😂 | Sentiment: None
182: 179: i loved when da pump when they made the song called &quot;if&quot;.so much nostalgic song is in this list and im happi.its not like best its most watched so its not only japan, people from other countries watches them too dont forget that. | Sentiment: positive
183: 180: 7:41 my dad gym song that i added (he&#39;s japanese) | Sentiment: positive
184: 181: evangelion op was defeated by &quot;you are my special&quot;, how the hell did this happen? | Sentiment: None
185: 182: japanese top 100 destroys all world top lists | Sentiment: None
186: 183: lol htf is pineapple pen number 5?? how??!! well sad that none of the newer bleach songs were up there but at least there were a couple older ones lol. | Sentiment: None
187: 184: 29:49 kizaru jumpscare | Sentiment: positive
188: 185: me seeing rokudenashi in the list. i&#39;m happy | Sentiment: negative
189: 186: how is ponponpon not on the top played list | Sentiment: None
190: 187: so i kept track of all the yoasobi and ado songs. yoasobi had 9 songs (2 of them were #3 and #2). ado had 6 songs in this whole list. i kept track of these two cause i like them the most of all the jp artists | Sentiment: None
191: 188: i think the songs that brother nicholas likes tend to have high-pitched parts, and it seems like high vocals are popular in japan too. but in this ranking, there were so many songs where it felt like, “ah, there’s a high note coming right after this part!” but then it didn’t quite get there—such a missed opportunity 😅i wish they’d show more love for japan. | Sentiment: positive
192: 189: i expected the whole of twice&#39;s japanese discography to be here lol.. ig maybe because they&#39;re not a japanese group | Sentiment: None
193: 190: your face at the number 5, i pied myself ^^ | Sentiment: None
194: 191: ppap by kizaru 😂 | Sentiment: None
195: 192: japan bros you have some great fucking taste.also, ppap was a crazy curveball 🤣 | Sentiment: None
196: 193: i like that in japan musicians often use instrumentals and are not afraid to play with their voices. it also seems that japan has the kindest and most positive music. | Sentiment: positive
197: 194: is it more biased? considering he didn’t like the others much unless it was mostly anime, or maybe he just likes mostly soft spoken songs? | Sentiment: None
198: 195: wooo proud japanese/american moment for me. glad you enjoy our stuff (minus ppap lol) | Sentiment: None
199: 196: nah.. you dont even know what we do to take over ppap from the top..you dont even know fruit wars | Sentiment: None
200: 197: ニコラスよ。日本のネットミームも見る気は無いのか？日本の裏の顔「変態」を楽しめるよ | Sentiment: negative
201: 198: just a tad happy here that yorushika had a couple on the list. you gotta check out their music! | Sentiment: positive
202: 199: first loveが出た時にspotifyやyoutubeがあって今のレベルで見る人いたら数百億再生は余裕でいってる。日本だけでcd 860万枚だからね。 | Sentiment: None
203: 200: lemon intro slaps ngl | Sentiment: None
204: 201: 30:30 ピコ太郎無双 | Sentiment: None
205: 202: wait, there is no bansanka by tuki on that list? | Sentiment: None
206: 203: anybody knows the title song no 23? | Sentiment: negative
207: 204: never heard the version of #19. only know ado&#39;s cover | Sentiment: None
208: 205: ppap the best song ever 🔥 | Sentiment: negative
209: 206: love your jpop reaction! | Sentiment: positive
210: 207: synth vibing 2025 - just released (new electronica / edm album) ==righteous destruction (rock / metal album)castlevania: aura of holy might (soundtrack / remix album) | Sentiment: None
211: 208: j-song are really unique, i&#39;ve now listened to like 5717 jsongs on list and probably 90% of them already on my listbelieve me..even the small artist have really good songs and voice too | Sentiment: positive
212: 209: i&#39;m a japanese teacher and i seriously want to teach you japanese. you have a high level of comprehension, so i&#39;m sure your interpretation would be amazing if you learned japanese. | Sentiment: None
213: 210: pen-pineapple-apple-pen xd | Sentiment: None
214: 211: 18:52表情がサイコパス過ぎだろw | Sentiment: negative
215: 212: | Sentiment: None
216: 213: ubi | Sentiment: negative
217: 214: looking forward to baby metal reaction. plese do it quickly | Sentiment: negative
218: 215: the fact that you know 90% of the songs and to think this all started when you did that blind reaction to anime openings. lol | Sentiment: None
219: 216: ppapで黄猿言われてんのバカ笑ったｗｗ確かにめっちゃ似てるｗｗ | Sentiment: None
220: 217: ambatuakm | Sentiment: negative
221: 218: you should check the top 230 anisong cd single sales from 1990 to 2024 | Sentiment: None
222: 219: number 77 is the same people who did the mha vigilante op | Sentiment: negative
223: 220: 73位のyoasobiの時の反応😂楽しいビデオをありがとう😊✨日本から見てます🇯🇵🗾私もたくさん良い音楽を聴くぞー😆⸜( * ॑˘ ॑* )⸝⋆*ʓ ꩢ ʓ ꩢ | Sentiment: negative
224: 221: 33:38 “lemon” is a song produced in 2020 as the theme for a television drama. the lyrics beautifully reflect the drama’s themes, and together with the show’s popularity, the song attracted significant attention. it also served as the breakthrough that brought the artist kenshi yonezu into the public spotlight. | Sentiment: None
225: 222: 30:17 “pen-pineapple-apple-pen” is a song written and performed by the japanese comedian pikotaro. its surreal humor made it a hit in 2016, and it later became a sensation in the united states as well. | Sentiment: None
226: 223: 10:22 masaki suda（菅田将暉） is a famous actor in japan, and he’s also a talented singer. | Sentiment: None
227: 224: ok, official hige dandism gotten huuuge since i first heard them. | Sentiment: positive
228: 225: ppap came out when i was still in school. it&#39;s old. i think 2015 so why is it still relevant lmao. hated it so much because everyone would sing that shit | Sentiment: negative
229: 226: i&#39;m sad that duvet isn&#39;t on this list. 😔 | Sentiment: positive
230: 227: ppapほんま草 | Sentiment: negative
231: 228: 3:30 reiner🗣️🔥 reiner🗣️🔥 reiner🗣️🔥 | Sentiment: None
232: 229: when kenshi yonezu released lemon, i felt the need as a japanese to sing it in the middle of a pubg hotspot, and i did. i performed it in front of a downed enemy, no one came to interrupt me, and he bled to death right in front of me. | Sentiment: None
233: 230: hi! i love your channel, especially about ado.by the way, could you react japanese song &#39;tentai kansoku’ by japanese band &#39;bump of chicken’.it was released 24 years ago and it became the 2000&#39;s national representative song.i have never seen the japanese dislike the song.i am very interested in your thoughts, since it is not complicated but purely touchs the hearts of japanese people. you in advance! | Sentiment: None
234: 231: recent songs are getting more views from overseas since anime culture has become more popular last few years. | Sentiment: None
235: 232: i was not expecting hai yorokonde to be on here. i&#39;ve been bumping that shit for months after spotify added it to my queue. i had no clue it was that big lol | Sentiment: None
236: 233: 7:19 finally eve 😭 | Sentiment: negative
237: 234: lemon&quot; is the name of the drama.it became very popular. | Sentiment: None
238: 235: react dish. full video on firsttake dude | Sentiment: None
239: 236: can&#39;t believe orb op is underrated even in japan | Sentiment: negative
240: 237: plz listening to lemon after watching j-drama “unnatural”!! swear you will cry. | Sentiment: None
241: 238: you should put japanese subtitles on this | Sentiment: None
242: 239: anytime anywhere? 🥹😔💔 | Sentiment: None
243: 240: 85、masaki suda was a voice actor in the movie &quot;the boy and the heron.&quot;he is an actor and singer and his brothers are also active in showbiz. | Sentiment: negative
244: 241: 6:00 not true...in germany 2007 and 2008 and so we had a lot of japanese music on mtv like mucc, despairsray, direngrey, shanadoo and and.. many of them were top 10 weekly and monthly | Sentiment: None
245: 242: no amazarashi?!?!?, am i the lone amazarashi fan | Sentiment: None
246: 243: nicholas please react this one too, this is a good list of japan music | Sentiment: positive
247: 244: 今日本で最も人気なミセス。海外だとインフェルノしか聴かれてなさそうよなぁ。 | Sentiment: negative
248: 245: it&#39;s about time you started calling yourself japanese. i&#39;m japanese, so you should be proud. | Sentiment: None
249: 246: i didn’t like specialz at first neither, but this year, for some reason, it’s been playing on repeat for days in my head and playlist 🤷🏾‍♀️ | Sentiment: positive
250: 247: man with a mission is not on the list?! 😮 | Sentiment: positive
251: 248: ピコ太郎5位はまぁ…仕方ないwwww | Sentiment: negative
252: 249: lemon release for tv series called unnatural, that series so fckind good tho | Sentiment: None
253: 250: everything except pinapple pear and the tokyo drift song was amazing! 😅 | Sentiment: negative
254: 251: 私は日本の米津玄師さんのファンです。私が言うのもなんですが、このランキングに出てくる米津玄師さんの歌う曲は、全て米津玄師さん自身が作詞作曲をして歌い、ディスコグラフィのジャケット絵も描いています。さらに、菅田将暉さんの歌う「まちがいさがし」、daokoさんと共に歌う「打上花火」の作詞作曲も米津玄師さんが行っています。僕は米津玄師さんは努力と才能の神だと思ってます。 | Sentiment: negative
255: 252: ヨルシカのリアクションお願いします！ | Sentiment: negative
256: 253: ピコ太郎のspotify過疎ってて草 | Sentiment: negative
257: 254: ただローマ字版の歌詞を見つけて歌う練習をしなさい。そのうち歌えるようになります。私もそれで日本語を習得しています。頑張ってね。 | Sentiment: negative
258: 255: my favorite artist1.kenshi yonezu2.bump of chiken3.aimyon4.green apple | Sentiment: negative
259: 256: kenshi yonezu lemons has a great melody,but i think it is lyrics that really make it popular! | Sentiment: negative
260: 257: 黄猿コメでクソ笑ってんの好き | Sentiment: negative
261: 258: i am hoping to be reborn in my next life as a japanese boy hahaha | Sentiment: negative
262: 259: eve my goat | Sentiment: negative
263: 260: this is unofficial no? there are tons of artists that wasn&#39;t on the list. | Sentiment: None
264: 261: yosobi fucking carried | Sentiment: negative
265: 262: 29:46 壊れたwww | Sentiment: None
266: 263: so fun fact about ppap song, that song was the most viewed j-song for awhile 😂 i watch 1 channel breakdown month by month how much view every song get and the community in that channel so pump up surpassing that meme song lol😂😂 | Sentiment: positive
267: 264: i&#39;ve watched and listened to anime/japanese music since i was a kid in the 90&#39;s and i don&#39;t think i recognized many of the songs on this list at all lol except for a few obvious ones on demon slayer, jjk, naruto. i think i must just have terrible taste in music lol the japanese band i&#39;ve probably listened to the most was introduced to me like 15-16 years ago called &quot;mass of fermenting dregs&quot; but besides that it&#39;s like 80% city pop music which i thought would be more popular than it actually is too. | Sentiment: None
268: 265: i see you didnt know what number 69 was. its called &quot;yesterday&quot; and its from a very underrated anime movie called &quot;hello world&quot;. | Sentiment: None
269: 266: most artists appearances: top 61st yoasobi - 9 songs2nd kenshi - 8 songs- 2nd hige dandism - 8 songs3rd ado - 6 songs4th mrs green apple - 4 songs - 4th back number - 4 songsthese 6 artists make up 39% of the entire top 100 list!edit: also, kenshi does appear as a feature on another song, so you could say he had 9 songs, but i felt like features don’t really count so i didn’t include it! | Sentiment: None
270: 267: racing into the night by yoasobi is number 2 on this list despite being shadow banned on yt due to self harming themes. maybe that is why the copyrite on that song is very lax. | Sentiment: positive
271: 268: my boy kizaru was spitting 🍎🖊🍍🖊😎 👔👉✨ 🍎🖊🍍🖊👖👞👞 | Sentiment: negative
272: 269: im glad my fav of all time number 7. daoko x kenshi - uchiage hanabi | Sentiment: negative
273: 270: funnyly waiting for him to watch banana fish or the ops | Sentiment: None
274: 271: i love “the same as…” by one ok rock so much… ❤ | Sentiment: positive
275: 272: please check xg - woke up | Sentiment: negative
276: 273: 英語の勉強してないから、何を言ってるのかは分からないけど、最初から最後まで楽しそうでよかった。 | Sentiment: negative
277: 274: 反応が面白すぎるw😂日本の音楽を愛してくれてありがとう！！❤ado最高〜〜〜！！ | Sentiment: negative
278: 275: you shouldve been there during the jpop hype year | Sentiment: None
279: 276: ワンオクもっと聴いて！！！！ | Sentiment: negative
280: 277: i flippin love one ok rock, like i have been listening to them nonstop for 4 months straight. i would like to see a reaction to the other songs if he hasnt already reacted/listened to them. | Sentiment: positive
281: 278: whoa, dude, seriously, you need to put in japanese subtitle. like, all i&#39;m seeing in the comments is japanese, lol. no joke, dude, you&#39;re a really big deal now! | Sentiment: None
282: 279: 18:52 ここから連続で喰らってる笑笑 | Sentiment: negative
283: 280: 相当偏ったランキング。もっといい歌たくさんあるからリアクションしてほしい。thanks , nicholas! | Sentiment: None
284: 281: 進撃の巨人が少しでも出てくると狂喜するニコラス兄貴が大好きだよ | Sentiment: negative
285: 282: 字幕日本語つけてくれないかなぁ | Sentiment: negative
286: 283: request🙋j-pop❤90&#39;stop 50🎶live ostmedley🎶 | Sentiment: None
287: 284: we are babymetal!!! ❤ | Sentiment: negative
288: 285: hey, man&quot;kanade&quot; by sukima switch was released in 2004 | Sentiment: negative
289: 286: ピコ太郎を黄猿は草 | Sentiment: negative
290: 287: masaki suda is actor. | Sentiment: None
